label,0,1,2,3,4,5,6,7,8,9,rank_percentage
"Public Health Education, Information & Communication Manager",Online Marketing Developer,Front Office Manager,Mall Manager,.NET Senior Software Developer,Real Estate Asset Management Division Head,Interaction Designer,Chief Specialist on Operational Risk Analysis and Expertise,Local Marketing Manager,Assistant to Museum Shop Manager,Financial Specialist,0.6185632214199125
Procurement Coordinator,Brand Manager,Deputy Director of Administration,Senior C++ Engineer,Accountant,Real Estate Asset Management Division Head,Secretary Registry Clerk,AutoCAD Designer,Marketing Superviser,Senior Java Tester,Designer,0.044273441205924205
Biologist,Training Officer,Software Development Manager,Customer Support Representative,Administrative Assistant,Project Manager,GUI Developer,Assistant in Accounting Department,Driver,Chief Accountant,Finance and Administration Officer,0.5323354240236124
Project Manager,Accountant,Sales Engineer,Senior Manager of Support Services,Branch Manager,Finance Manager,Chief Accountant,C C++ Software Engineer,MI and Group Reporting Analyst,Mobile and Social Games Product Manager,Ne2rk Administrator,0.18526326885574237
Intermediate Java Developers,Auditor of Information Technologies Audit Unit,QA Engineer,"Chief Executive Officer of ""North South Road Corridor Investment",Accountant,Lawyer,Senior Flash Flex Software Developer,Architectural Designer,Program Assistant Receptionist,Cashier,Postal Financial Services (PFS) Commercial Department Head,0.7447952353344226
Senior Software Engineer,Designer,AutoCAD Designer,"Deputy Chief of State Service of Food Safety, SNCOs and",Financial Analyst,Web Designer,"Administrative Assistant, M4Meghri Project",Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,0.6715332314341432
Senior Java Developers,Corporate Affairs Trainee,AutoCAD Designer,Senior Java Tester,Internet Assessor,Lawyer Economist,Learning Coach,Marketing Manager,Senior Manager of Support Services,Office Manager Secretary,Manager,0.1695040320455384
Intermediate Software Engineer,Senior Database Engineer,Real Estate Asset Management Division Head,Medical Representative,AutoCAD Designer,Country Economist (NOB),Sales Consultant,PIU Interpreter Translator,Loan Specialist,Tourism Specialist,"Child Protection Officer, NO 2",0.1877931797817952
Software Development Manager,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Public Relations Responsible,Designer,Monitoring Project Officer,System Architectural Designer,Senior Java Tester,0.2767090075370263
Export Manager,Contractor Intern,Senior Java Tester,System Administrator,AutoCAD Designer,Designer,Construction Technical Supervisor,Senior Android Developer,Senior Developer Team Leader,Architectural Translator,Promotion Manager,0.7737310915511516
Mechanic,Travel Consultant,Tourism Specialist,Lead Software Engineer Deep Submicron Department,Native Near Native English Teacher,Corporate Banking Manager,English Language Specialist,Finance Officer,European Spare Parts Product Manager,Senior PHP Developer,Hardware Engineer,0.5197385758709745
Driver,Country Director,Credit Manager of the Branch,Chief Financial Officer,English Language Courses,Sales Manager,Driver,Legal Research Assistant,Receptionist Administrative Assistant,Accountant,Project Assistant,0.20070626680018974
"Refrigeration, Heating and Air Conditioning Technician",TEFL Technical Coordinator for Pre Service Training,Short term Legal Experts for Drafting Amendments and Additions to,HR Generalist,Programmer,Receptionist Administrative Assistant,iOS Developer,Web Designer Developer,Promotions Manager,International Sales Manager,GUI Developer,0.024244979708006115
Driver GS 2,Web Developer,Marketing Methodology Developer,Civil Society Experts,Senior Java Developers,Software Engineer,Business Promotion Center Senior Retail Specialist,International Transactional Attorney,Negotiator,Credit Officer,Dentist,0.8634375164707743
Administrative HR Assistant GS 5,Regional Retail Executive,Chief Accountant,Project Officer Community Mobilizer,Director of Technical Block,GUI Developer,Ad Developer ID No. 2,QA Engineer,QA (Quality Assurance) Engineer,Armenia Country Director,Economist Engineer,0.2587888051441522
Warehouse Supervisor,Software Project Manager,Receptionist,"Guard, FSN 3; FP BB*",Deputy Chief of Party Targeted Media Loan Division,IATP Mobile trainer,Chief Accountant,JSP Java Developer for Lycos Billing Platform,Executive Director,Administrative Assistant,Web Developer,0.32904653981974386
Web Designer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Senior Java Tester,AutoCAD Designer,Food Safety Regulatory Reform Consultant,"Leading Specialist, Financial Market Operations Department",Java Developer,0.7700416381173246
Preseller,QA Testing Engineer,Database Administrator,Team Leader,Software Development and Testing Senior Specialist,Accountant,QA Intern Contractor,Senior Democratization Assistant,Accountant,Senior R&D Engineer I SG,Export Manager,0.9823433299952564
Automated Test Engineer,Shop Manager,Sales Floor Manager,Web Site Developer,Seller Consultant,Senior Quality Assurance Engineer,Pharmacist,IT Officer,Store Manager Director,Monitoring and Evaluation Specialist,Senior Database Developer,0.8825172613714225
Developer of Automated Tests,Senior Java Tester,Designer,Java Developer,Shop Manager,System Administrator Leading Specialist,Finance Officer,Energy Specialist,Medical Representative,Contractor Intern,Business Analyst,0.28967480103304694
Lawyer,System Administrator Leading Specialist,Sales Manager,Chief Security Officer,Native Near Native English Teacher,Corporate Banking Manager,Grants Management Specialist,Food Safety Regulatory Reform Consultant,Contractor Intern,Online Marketing Developer,Java Developer,0.9110841722447689
Accountant,Online Marketing Developer,Programmer,Food Safety Regulatory Reform Consultant,Senior Circuit Design Engineer,Sales Manager Preseller,Grant Specialist,Chief Specialist on Operational Risk Analysis and Expertise,Graphic Designer,Regional Retail Executive,"ASP.NET, C# Software Developers",0.709798134190692
English Language Courses,Corporate Affairs Trainee,IT Specialist,Senior Manager of Support Services,Assistant to Chief Accountant,Lawyer Economist,Customs Clearance Officer,Web Intern Contractor,PHP Web Software Developer,Project Manager,Senior Web Developer,0.5424550677278237
Web Developer,Banking Specialist,Marketing Manager,Technical Support Operator,Project Development Assistant,SQA Engineer Intern,Applications Engineer,Housing Finance Manager,"R&D Engineer, Senior I",Accountant,IT Applications Division Head,0.9730669899330627
Database Administrator,Java Developer,Senior Loan Credit Provider Monitoring Specialist,"Retail Credit Portfolio Post Underwriting Unit Loan Officer,",Senior Java Tester,"Senior Software Engineer, Deep Submicron Department",Internet Assessor,"Software Engineer, Design to Silicon Division",AutoCAD Designer,Armenian English LanguageTranslator Interpreter,Advanced Training Certificate Program in International Economics,0.5324408369788647
HTML Specialist,Cashier at Entertainment Z1,Brand Manager,C C++ Software Developer,Executive Director,General French Language Teacher,Claims Assistant,Driver,Software Test Engineer,System Architectural Designer,Branch Representative,0.26168766141358774
Translator,AutoCAD Designer,Native Near Native English Teacher,Corporate Banking Manager,Internet Assessor,Medical Representative,Medical Representative,Business Analyst,Food Security Specialist,Sales and Marketing Manager,Food Safety Regulatory Reform Consultant,0.8557950772149897
Salesperson Consultant,Information Manager,Manager (Traffic Account),Sales Manager,Credit and Debt Manager,Executive Assistant Office Manager,Assistant to the Chief,Educational Information Fair,MA in Journalism,A_PHONENUMBER A_PHONENUMBER Global Undergraduate Exchange Program in Eurasia &,Non Cash Operations Department Specialist,0.5367100616665789
Driver,Sales Manager,Junior SCRUM Master,Accounting Assistant,Programmer,Leading Specialist in Cash Operations Division,Support System Administrator,UI Web Engineer,Import Manager,Security Officer,Head of Strategy and Program Development,0.599378063564012
Head of External Economic Relations Unit of M1tary Policy,Embedded Linux BSP Engineer,Senior PHP Developer,Customs Clearance Officer,Web Intern Contractor,Communications Electronics Engineer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,0.7845886259421283
Head of Financial Market Analysis and Short term Programming,Contractor Intern,Java Developer,Public Relations Responsible,Senior Java Tester,Web Developer,Web Designer,Designer,Accountant,Visual Merchandiser,Web Developer Designer,0.24023612501976493
Head of Financial Programming and Forecasts Unit of M1tary,Non Cash Operations Department Specialist,Chief Accountant,C C++ Software Engineer,MI and Group Reporting Analyst,Civil Society Program Director,Ne2rk Engineer,Information Manager,Junior Expert at NA Standing Committee on Economic Affairs,Medical Representative,"Deputy Chief of State Service of Food Safety, SNCOs and",0.5690718389290044
"Head of Banking System Development Research, Banking Methodology",Country Economist (NOB),Sales Consultant,PIU Interpreter Translator,Loan Specialist,Head of Operational Unit Sayat Nova Branch,Head of Internal Audit Department,Import and Purchasing Manager,Project Engineer,Chief Accountant,C C++ Software Engineer,0.036578295472513574
"Head of Economic Research and M1tary Policy Strategy Unit,",Lead Software Engineer Deep Submicron Department,AutoCAD Designer,Internship Program in Hunan Resources Area,Local Government Finance Technical Advisor,Customs Clearance Officer,Web Intern Contractor,"Senior Software Engineer, Deep Submicron Department",Java Developer,Tourism Specialist,Chief Security Officer,0.829125599536183
"Head of Modeling Unit, Economic Research Department",Java Developer,Credit and Debt Manager,Manager (Traffic Account),Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Web Engineer,Non Cash Operations Department Specialist,0.2557318294418384
Head of Financial Department,Online Marketing Developer,AutoCAD Designer,Java Developer,Graphic Designer,Financial Director,Medical Representative,PHP Developer,Accountant,Administrative Assistant Translator,Medical Representative,0.9991566963579824
Head of Armenian Economy Unit of M1tary Policy Department,Advocacy Specialist,Secretary Registry Clerk,Journalist,Contact Center Project Manager Head,Operations Manager,Sales Assistant,Credit Specialist,Expert on Public Outreach,PHP Developer,Leading Specialist Accountant of Financial and AdministrativeManagement Department,0.16407526485005008
"Head of International Risk Management Unit, Financial Department",Deputy Financial Controller,Database Developer,Senior Software Engineer,Senior PHP Developer,Medical Representative,Project Linguistic Assistant,Marketing Specialist,Flash Developer,Territory Executive,Marketing and PR Manager,0.9565171559584673
Secretary Referent,Layout Internship,Microsoft .NET (C#) Developer,Collections Specialist,English Language Instructor,Agriculturist,Credit Manager,Project Manager SEO,Data Analyst,Nurse for Home Care,Project Assistant,0.040900226637853795
Head of Economic Research Department,Online Marketing Developer,Food Safety Regulatory Reform Consultant,Native Near Native English Teacher,Corporate Banking Manager,Grants Management Specialist,Chief Security Officer,Corporate Affairs Trainee,Place and Route Technical Marketing Engineer,Internet Assessor,Accountant,0.7827438992252148
"Head of Foreign Market Operations Unit, Financial Department",Database Programmer,Translator Interpreter (AVET3),"IN, VAS and Billing Engineer",Assistant Underwriter,UX (User Experience) Designer,Chief Reporting Specialist Accounting Department Reports,Head of Customer Service Unit,Business Support System Division Head,Head of Marketing and Sales Department,FronA_PHONENUMBERd Developer,0.5030306224635007
Head of Accounting Department Chief Accountant,Finance Associate,Alumni Coordinatior,Head of Media Unit,QA Test Engineer,Secretary,Lawyer,Chief Accountant,iOS Developer,Head of Strategy and Program Development,Information Security Responsible,0.5079850313603542
Head of M1tary Policy Department,Librarian Information Specialist,Sales Manager,Proposal Writing Consultant,Marketing Specialist,Flash Developer,Territory Executive,Future Leaders' Exchange Program (FLEX),Information Systems and Technologies Coordinator,Cashier in Yerevan,Sales Manager,0.7331471037790545
"Head of M1tary Policy Operations Unit, Financial Department",Medical Representative,Sales Director,Claims Adjuster,Sales Person,Procurement Specialist,Graphic Designer and Animator Web Developer,Director of Marketing,Head of Cards Issuance and MainA_PHONENUMBERance Unit,Customs Clearance Specialist,Head of IT Division,0.5575818268065145
Designer,Accountant,Creative Manager,AutoCAD Designer,Branch Manager,Finance Manager,Area Retail Sales Supervisor,Secretary Registry Clerk,Salesperson,Credit and Debt Manager,Senior C++ Engineer,0.20850682548885258
Management Information Systems (MIS) Officer,Senior Java Tester,IT Support Specialist,Business Advisor Non Farm Rural Enterprises,Advocacy Specialist,Finance Associate,Visual Merchandiser,Deputy CEO,Human Resources Executive,"Head of Cards Issuance and MainA_PHONENUMBERance Unit, Operations General",Branch Manager,0.5179465556316871
Pharmacist,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Market Developer,System Analyst,"Leading Specialist, Financial Market Operations Department",Medical Representative,Financial Analyst Budget Controller,0.016444421019343278
Legal Adviser Lawyer,Real Estate Asset Management Division Head,Online Marketing Developer,Director of Finance,Gegharkunik Marz Development Manager,Senior Auditor,Clinical Psychologist,Project Coordinator,Secretary Registry Clerk,Secretary,Controller,0.6901913245137827
General Practiti1r,Finance Associate,Branch Manager,Finance Manager,Head of Strategy and Program Development,Business Advisor Non Farm Rural Enterprises,Alumni Coordinatior,Training Officer,Software Development Manager,Customer Support Representative,Administrative Assistant,0.30727876456016445
Plastic Cards Manager,System Business Analyst,Executive Director,Senior .NET Software Engineer,PHP Software Developer,Sales Executive,Treasury Officer,QA Intern Contractor,HR Manager,Sales Administrator,Web Developer,0.3084383070679387
Software Developer,Packet Core Specialist,Online Marketing Developer,HILTI Subdivision Rental Center Manager,AutoCAD Designer,Senior Java Backend Developer,Architectural Translator,Native Near Native English Teacher,Corporate Banking Manager,Project Officer Monitor,Project Coordinator,0.8620671480524956
Project Manager,Medical Representative,"Escort; FP BB*, FSN 3",Marketing Manager,Sales Person,Monitoring Project Officer,QA Engineer,JavaScript Developer,Treasurer in Financial Markets Department,Sales Consultant,"Chief Executive Officer of ""North South Road Corridor Investment",0.0849101354556475
A_PHONENUMBER Junior Faculty Development Program (JFDP),System Administrator Leading Specialist,Recruitment Assistant,Designer,Medical Representative,Manager (Traffic Account),Civil Society Program Director,Ne2rk Engineer,Senior Software Developer,Web Engineer,"Economist, Economic Research Department",0.6217783165551046
Receptionist,Senior Accountant,"IN, VAS and Billing Engineer",Assistant Underwriter,UX (User Experience) Designer,Chief Reporting Specialist Accounting Department Reports,Head of Customer Service Unit,Web Developer,Driver,Financial Manager,Marketing Coordinator,0.7374690349443946
"Senior Engineer, Application Engineering and SQA Group",Business Advisor Non Farm Rural Enterprises,Shop Manager,Sales Floor Manager,Energy Specialist,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,"Leading Specialist, Financial Market Operations Department",0.23122331734570178
Marketing Programs Intern,SAS Programmer,Web Developer,Local Marketing Manager,Creative Manager,Front Office Manager,Information Security Responsible,Junior Accountant,Advanced Training Certificate Program in International Relations,Gegharkunik Marz Development Manager,Head of Master's Program with Russian State University of Oil and,0.6903494439466611
"Engineer, Application Engineering Group",Administrative Assistant Translator,Tester Quality Assurance Engineer,Assistant to Museum Shop Manager,Public Relations Specialist,Project Assistant.,Rural Credit Advisor,Medical Representative in Nagorno Karabakh,Receptionist Administrative Assistant,International M1y Transfer Specialist,Shop Cashier in Kapan,0.7085858852052918
Software Developer C++ C#,QA Testing Engineer,Medical Representative,Financial Specialist,AutoCAD Designer,Market Marketing Coordinator Specialist,Trade Officer,Challenges and Opportunities for Armenia in the Context ofRegional and Global Economic ShocksEVENT TYPE: Open Lesson,Non Cash Operations Department Specialist,Economist Tax Analyst,Accountant,0.19912507247140673
Resource Software Development Director,Branch Manager,Finance Manager,Training Officer,Software Development Manager,Customer Support Representative,Administrative Assistant,Project Manager,GUI Developer,Assistant in Accounting Department,Driver,0.09671638644389395
Accountant,Contractor Intern,AutoCAD Designer,Energy Specialist,Web Developer Designer,Civil Society Program Director,Ne2rk Engineer,Bellman,Financial Specialist,Secretary Registry Clerk,Postman,0.4930690981921678
Sysadmin Payment Sysytems Administrator,Senior Database Engineer,Chief Accountant,"Chauffeur, FSN 3; FP BB*",Clinical Data Programmer,Sales Manager,Paid Intern for Community Connection Program,Accountant,Manager,Installer Alpinist,Negotiator,0.47730986138196385
Verification Engineer System Administrator,Programmer,Vehicle Coordinator,Financial Administrative Manager,Head of Commercial Lending Department,"Project Coordinator, Strengthening of National Disaster",Accountant,Office Administrator,System Administrator General Specialist,Marketing Manager,IT Administrator IT and Automation Division,0.07573920834870605
Librarian Information Specialist,Online Marketing Developer,Programmer,Food Safety Regulatory Reform Consultant,Senior Circuit Design Engineer,Sales Manager Preseller,Grant Specialist,Chief Specialist on Operational Risk Analysis and Expertise,Graphic Designer,Regional Retail Executive,"ASP.NET, C# Software Developers",0.44426289991039897
Sales Consultant,Shop Manager,Energy Specialist,Manager (Traffic Account),Business Advisor Non Farm Rural Enterprises,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Java Developer,0.10256680546039108
Programmer Project Developer,Program Experts,Head Engineer Mechanic of food (canning) industry,Lawyer,Local Governance Expert for Municipal Services,Senior Software Developer,Designer,Public Relations Responsible,Manager (Traffic Account),Web Engineer,Java Developer,0.5622727033152375
Country Manager,AutoCAD Designer,Research and Development Engineer,Product Manager,Food Safety Regulatory Reform Consultant,Lead Software Engineer Deep Submicron Department,Project Coordinator for Promoting Equal Rights and Equal,Office Manager Secretary,IT Support Specialist,Local Government Finance Technical Advisor,Administrative Assistant Interpreter,0.6770674115848838
Accountant,Software Project Coordinator,Mall General Manager,Kotayk Childrens Village Programme Director,Java Web Developer,"Economist, Economic Research Department","Programme Officer, Education Officer NO 2",ASP.NET Developer,Project Assistant,Civil Srtuctural Engineer,Senior Firmware Software Engineer,0.5454593369525115
Legal Commercial Law Translator,Tester Quality Assurance Engineer,Entertainment & Sport Manager,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Cashier,Learning Coach,Rural Microlending Expert in Georgia,0.4231803088599589
Advertising Agent,Monitoring Specialist,Assistant to the Chief,Secretary Registry Clerk,Receptionist,Senior Technical Support Engineer,iOS Developer,Medical Representative,Senior Manager of Support Services,Energy Specialist,A_PHONENUMBER A_PHONENUMBER Global Undergraduate Exchange Program in Eurasia &,0.5667527539134559
Telecommunications Regulatory IT Translator,Information Manager,Deputy Director of Administration,Software Development Director,Language Assistant for EU Twinning Project,Project Coordinator for Caring for Equality Project,Java Developer,Credit and Debt Manager,Designer,Brand Manager,Sales Director,0.5212670637221315
Accountant,Food Safety Regulatory Reform Consultant,Art Director Show Manager,"Lawyer, Administrative Legal and Litigation Practice Unit, LegalService",Civil Society Program Director,Ne2rk Engineer,Product Manager,Web Developer,Expediter,Finance HR Director,Ne2rk Administrator,0.2984767827966057
Senior .NET Developer,AutoCAD Designer,Internet Assessor,Accountant,Sales Manager,Senior Database Engineer,Native Near Native English Teacher,Corporate Banking Manager,Expert at the Standing Committee on State and Legal Affairs and,Product Manager,Learning Coach,0.08659674273968271
Chief Accountant,Research and Development Engineer,System Administrator,R&D Engineer,Learning Coach,Corporate Affairs Trainee,Senior .Net Developer,PHP Developer,Product Manager,Secretary Referent,Executive Director,0.3836504506403837
Sales Manager,PHP Software Developer,Receptionist Administrative Assistant,"Head of Medium Business Customer Division, Department of",Bookkeeper,Grants Specialist,Sales Specialist,Project Manager for Cross border Programs,Software Engineer,Senior .NET Software Engineer,Chief of Party,0.7941284983924525
Sales & Marketing Director,Monitoring Specialist,A_PHONENUMBER A_PHONENUMBER Global Undergraduate Exchange Program in Eurasia &,National Project Coordinator (NPC),Java Developer,"Leading Specialist, Financial Market Operations Department",Credit and Debt Manager,MA in Journalism,Senior Technical Support Engineer,iOS Developer,Expediter,0.42924155378696044
Manager,Branch Accountant,Financial Specialist Agile Product Owner,National Transport Engineer,Promotion Manager,Corporate Affairs Trainee,Assistant to Chief Accountant,Marketing Specialist Assistant,Medical Representative,Brand Manager,Import Manager,0.917461656037527
Senior Programme Assistant (Human Rights Issues),Real Estate Asset Management Division Head,Senior Manager of Support Services,Lawyer,Project Coordinator for Promoting Equal Rights and Equal,Senior C++ Engineer,Marketing Manager,Android Developer,Accountant,Secretary,Employment Services and Labor Inspectorates Expert,0.18758235387129077
IS ICT Governance Officer,AutoCAD Designer,Expert at the Standing Committee on State and Legal Affairs and,Sales Manager,Economist Tax Analyst,Internet Assessor,Project Assistant.,Tester Quality Assurance Engineer,Senior Database Engineer,Receptionist Administrative Assistant,Accounting and Tax Manager,0.2069783376376957
ASP.NET Software Developers,Museum Head Curator,Workshops Coordinator,Chemical Engineer,Corporate Affairs Trainee,Product Manager,PHP Developer,Chief of Construction Supervision Division,Sous Chef,Programmer,Assistant to Chief Accountant,0.106730617192853
VCT Counselor,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Senior Java Tester,AutoCAD Designer,Food Safety Regulatory Reform Consultant,"Leading Specialist, Financial Market Operations Department",Java Developer,0.9759131397248721
Waiter Waitress,Medical Representative,Office Manager Secretary,Local Government Finance Technical Advisor,State Investments Management Trainer,Sales Manager,Project Coordinator for Promoting Equal Rights and Equal,Communications Assistant,Procurement Specialist,Tourism Specialist,Senior Loan Credit Provider Monitoring Specialist,0.7957096927212355
National Coordinator of International Information System,Native Near Native English Teacher,Corporate Banking Manager,Base Station and Transport Administration Engineer,Contractor Intern,Medical Representative,Medical Representative,Merchandising Manager,Credit Operations Legal Documentation Clerk,Senior Flash Developer,Billing and Credit Control Consultant,0.785958994360407
Programmer,Database Development Team Leader Fraud and Revenue Assurance,Head of Liquidity Risk Analysis and Management Division,Senior Loan Credit Provider Monitoring Specialist,"Retail Credit Portfolio Post Underwriting Unit Loan Officer,",Country Economist (NOB),Sales Consultant,PIU Interpreter Translator,Loan Specialist,Regional Sales Coordinator for Lori and Shirak Regions,QA (Quality Assurance) Engineer,0.233964054182259
Main Specialist Customer Service Department,Public Relations Responsible,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,"Leading Specialist, Financial Market Operations Department",Credit and Debt Manager,Java Developer,Medical Representative,0.26922468771412006
Main Specialist Perspective Development and Planning,Economist Tax Analyst,QA Testing Engineer,Family Physician General Practiti1r in the 5 year Mobile,"Deputy Chief of State Service of Food Safety, SNCOs and",Finance Officer,Accountant,Systems Manager,Project Engineer,Import and Logistics Manager,Deputy Director of Administration,0.4675591630211353
Leading Specialist Department of Plastic Cards,AutoCAD Designer,Online Marketing Developer,Native Near Native English Teacher,Corporate Banking Manager,Senior Lawyer,Internet Assessor,Product Manager,Installation Supervisor,Accountant,Learning Coach,0.41369314288726083
Representative,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,"Leading Specialist, Financial Market Operations Department",Sales Director,Creative Manager,Business Advisor Non Farm Rural Enterprises,.NET C# Developer,0.8598007695145733
Secretary,Senior Java Tester,Head of Loan Department,Project Quality Manager in the Sphere of Aircraft Manufacturing,Web Designer,Business Advisor Non Farm Rural Enterprises,Procurement Specialist,Store Manager Director,Designer,Java Developer,Manager (Traffic Account),0.7686185632214199
Human Resources Manager,GUI Developer,iOS Developer,Monitoring Specialist,PHP Developer,Chief Accountant,Ruby Software Engineer,Fraud Manager,Manager (Traffic Account),Head of Nushikyan Print,Java Developer,0.12470352606335319
Retail Analyst,Online Marketing Developer,Food Chemist,Programmer,Junior Expert at NA Standing Committee on Economic Affairs,PHP Web Software Developer,Museum Head Curator,Workshops Coordinator,Embedded Linux BSP Engineer,Medical Representative,Assistant National Director,0.9053918726611501
Translator Interpreter,Country Director,Credit Manager of the Branch,Head of Film and Dubbing Department,Sales Director,Web Developer,Health Specialist,Data Security Manager,Procurement Coordinator,"Leading Specialist, Financial Market Operations Department",Senior Credit Officer,0.05934749380698888
Medical Representative,Claims Administrator,Fundraising and Procurement Specialist,Treasurer,Logistics Specialist,Executive Assistant,Field Officer for Turpanjian Rural Development Program (TRDP),Deputy Head of Construction Division,Administrative Assistant,IT Supervisor,Economist Tax Analyst,0.6406999420228746
English Daily Newscasts on HAI FM A_PHONENUMBER,Museum Head Curator,Workshops Coordinator,Software Test Engineer,System Administrator,Program Manager,Air Tickets Seller,Inventory Specialist,PCB Design Engineer,Senior QA Engineer,Graphic Designer,0.828598534759922
QA Specialist,Administrative Permits and Negotiation Engineer,Goldsmith,Logistics Officer,Data Report Analyst,Office Manager,Medical Representative,Senior Java Tester,Customer Support Specialist,Chief Accountant,Medical Representative in Yerevan,0.1950139672165709
Translator Interpreter,Business Consultant,Senior Web Developer,Translator,Database Administrator,Store Manager Director,Senior Auditor,Head of Commercial Lending Department,"Project Coordinator, Strengthening of National Disaster",Category Manager,Lawyer,0.1434143256206188
Assistant to Director,Senior Database Engineer,Tax Administration Expert,AutoCAD Designer,Project Coordinator for Promoting Equal Rights and Equal,Tourism Specialist,Manager,Installer Alpinist,Negotiator,Grant Manager,Medical Representative,0.31571180098034046
Legal Consultant Lawyer,Program Accountant,Administrative Assistant,Sales Manager Preseller,Executive Director,Senior Lawyer,"Assistant of the Finance, Administration and Resettlement Unit",System Business Analyst,"Contract Manager, Administrative and Logistics Service",Java Engineer,QA Intern Contractor,0.8992252147788963
Administrative Assistant,Senior Loan Credit Provider Monitoring Specialist,"Retail Credit Portfolio Post Underwriting Unit Loan Officer,",Deputy Head of Construction Division,Senior Java Tester,Market Analyst,Copy Center Operator,Electrician,.Net Developer,"Senior Software Engineer, Deep Submicron Department",Senior Auditor,0.7990829072893059
C C++ Software Engineer,Monitoring Project Officer,Designer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Java Developer,Senior Java Tester,Head of Nushikyan Print,0.7511727191271808
Finance Manager,Shop Cashier in Vanadzor,Shoe Store Manager,Loan Officer,Software Engineer in Vanadzor,Product Manager,Senior Software Engineer,Project Assistant,C# Senior Specialist,Building Systems Engineer,Junior PHP Developer,0.6974121119485585
Assistant to Chief Accountant,Senior Java Tester,AutoCAD Designer,Java Developer,Local Government Finance Technical Advisor,Web Designer,Designer,Marketing Manager,Senior Methodologist,Billing Analyst,Contractor Intern,0.7281926948822011
Assistant to Vice President,DSP Engineer,Deputy Chief Engineer,Administrative Assistant Translator,Senior Manual QA Engineer,Procurement Specialist,Intermediate C++ Developer,Customer Care Representative,Senior Java Developer,Receptionist Administrative Assistant,Administrative Assistant,0.5491487903863385
Marketing Specialist Sales Manager,State Investments Management Trainer,Installation Supervisor,Graphic Designer,Java Developer,"Deputy Chief of State Service of Food Safety, SNCOs and",Country Economist (NOB),Sales Consultant,PIU Interpreter Translator,Loan Specialist,Senior Java Tester,0.21994413113371633
Public Relations Expert,"ASP.NET, C# Software Developers",Senior Circuit Design Engineer,Sales Manager Preseller,Graphic Designer,Bio Statistician Statistical Analyst,Angular JS Developer,Manager,Medical Representative,Software Test Engineer,Programmer,0.11816792283771675
Main Specialist Customer Service Department,Assistant to General Manager,Head of the Development and Marketing Department,Administrative Assistant,Web Developer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Market Developer,0.547883834923312
Leading Specialist Department of Plastic Cards,"Leading Specialist, Financial Market Operations Department",Chief Financial Officer,Project Program Assistant,Secretary on Disability Issues,Designer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,0.48421440995098297
Verification Engineer,Cashier in Vanadzor,Fleet Mechanic,Cafe Manager,WordPress Developer,C#.NET Junior Developer,Internet Technical Support Consultant,Head of Cards Issuance and MainA_PHONENUMBERance Unit,Customs Clearance Specialist,Sales Manager,Financial Analyst,0.6159278975386075
Senior Logic Designer,Project Manager for Cross border Programs,Medical Representative,Non Cash Operations Department Specialist,Assistant to the Prime Minister of RA Macroeconomist,Tourism Manager,Manager (Traffic Account),Software Engineer,Software Engineer Database Department,Verification Engineer,Customer Service Agent,0.5152058187951299
Factory Manager,System Administrator,"Senior Software Engineer, Layout Processing Department (YA)",Marketing Expert,Business Analyst,Food Security Specialist,Sales and Marketing Manager,Senior PHP Developer,QA Testing Engineer,Market Marketing Coordinator Specialist,Trade Officer,0.028356084962841935
Chief Accountant,Secretary on Disability Issues,Designer,Microsoft Developer CRM,International M1y Transfer Specialist,Contractor Intern,Expert on Public Outreach,Visual Merchandiser,C++ Engineer,"Deputy Chief of State Service of Food Safety, SNCOs and",Medical Representative,0.7645601644442102
Financial Manager,Junior Data Analysis and Reporting Engineer,Sales Consultant,Web Developer,IT Auditor,Sales Assitant Manager,Civil Srtuctural Engineer,Senior Firmware Software Engineer,Human Rights Lawyer,Store Manager,Civil Society Program Coordinator,0.16191429926737996
English Language Courses,"Trainers in ""Exchange trading analysis, prognoss and decision",Hydro Biologist Specialist of Macro invertebrates,QA (Quality Assurance) Engineer,Business Management Project Officer,International M1y Transfer Specialist,Legal Adviser,Associate Consultant,Security Guard,Regional Retail Executive,Senior R&D Engineer 2,0.1486849733832288
