label,0,1,2,3,4,5,6,7,8,9,rank_percentage
Automated Test Engineer,Head of Financial Department,Orchard Manager,Audiovisual Technician,Irrigation Infrastructure Engineer,Airport Customer Service Agent,Chief Accountant,Loan Officer,Project Manager,Android Developer,"Construction Supervision Engineer, Nagorno Karabakh School",0.9383861276550888
Accountant,Inventory and Commodity Analyst,MSF Midwife,Receptionist,Visualizers Team Leader,Manager,Junior Software Engineer GUI Architect,Lawyer,Secretary Administrative Assistant,QA Engineer Tester,C# ASP.NET Web Applications Developer,0.050334686132925736
Documentary Operations Specialist,Human Resources and Administrative Manager,Healthcare and Social Programs Assistant,Front End Developer,Java Developer,Electrical Engineer,Translator Interpreter,"Head of Banking System Development Research, Banking Methodology",Head of Administrative Service,Head of Agents' Ne2rk Unit,Kapan Branch Manager,0.6069150898645443
Customer Support Technician,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,Marketing and Sales Manager,Warehouse Manager,"Software Engineer, Layout Processing Department (YA)",Credit Specialist,Head of Sales Specialists Division,Project Coordinator,Senior SW Integration Engineer,0.7445317029462921
Procurement Specialist,Senior System Administrator,IT Specialist (Implementation and Support of Large Scale,Accountant,C# Software Developer,Sales Manager,HR Director,Quality Control Operator,Assistant to Chief Accountant,Head of Credit Back Office,Human Resources and Administrative Manager,0.9982606862383387
Operations Clerk,Medical Representative in Gyumri,HTML & CSS FronA_PHONENUMBERd Developer Freelancer,SQA Engineer,Personal Assistant,Environmental Manager,Business Diagnostics for Consulting,Audit Associate,Merchandiser,Deputy Chief Accountant,Sales Manager,0.7251884256575133
AutoCAD A_PHONENUMBER Manual,Regional Retail Executive,Quality Control Operator,Logistics Specialist,Architect Designer,Chief Accountant,Treasurer,System DB Administrator,Leading Specialist for Methodology and Business Processes,Independent Contractor,Software Developer (Medical Imaging),0.9202023928740842
Grants Manager,Ground Handling MainA_PHONENUMBERance Manager,Inspection Reform Expert,C# .NET Senior Developer Team Leader,Head of Internal Audit,HR Administrative Manager,Product and Tour Manager,FronA_PHONENUMBERd Developer,Database Developer,Quality Coordinator,Quality Control Engineer,0.30680440626152955
First International Youth Conference on National Democracies,Chief of Party,National Expert on Legislation Regulating Relations in Energy,Fr8 Forwarding Coordinator,Merchandiser in Gegharkunik Marz,Administrative Secretary,Marketing and PR Specialist,Senior Quality Assurance Engineer,Finance Director Chief Accountant,Engineer Sales Manager,Executive Director,0.9764929109787593
Sr. .NET Developer,Developer,Project Manager,Hi Tech Council Workshop on A Hands On Approach to Developing,Teller Operator in Abovyan,Italian Language Teachers,Senior Software QA Engineer in Gyumri,Artist Designer,Finance and Administration Director,Quality Control Operator,Commercial Director,0.5630633004796289
Health Education Expert Trainer,Manager Assistant,C# .Net Developer,Head of Marketing Division,Marketing Manager,Armenia Country Director,Economist Engineer,Medical Representative,Technical Writer,Credit Specialist in Administration of Underwriting of Consumer,Section Manager,0.5529963632530438
Translator,Bid Manager,BCC Specialist,Executive Assistant,Project Manager,"Communication Expert Journalist (Junior), Local Governance",Chief Executive Officer,Sales Consultant,"Head of Fraud Prevention and Monitoring Unit, Card Operations",Supplier,Check Administrator,0.8154219153533969
Fixed Assets Specialist,Translator Interpreter,Functional QA Team Lead in Goris,Sales Manager Head of Department,Financial Controller,Senior Software Engineer,Java Developers,Intern Administrative Assistant,Graduate Trainee for Sales Function,Administrative Assistant,Database Development Team Leader Fraud and Revenue Assurance,0.15532598956411742
Real Estate Specialist,QA (Quality Assurance) Engineer,Software Developer,Translator Interpreter (AVET3),Android Developer,Senior Loan Credit Provider Monitoring Specialist,Community Development Specialist,Programme Officer,Graphic Designer,Project Manager,Finance Director Chief Accountant,0.168239076582512
Inventory Specialist,Mid level Software Developer,Economist Tax Analyst,R&D Engineer,Hotel Manager,Cashier,Assistant to the Regional Manager,Senior .Net Developer,Senior Web Developer,Art Director Show Manager,"Lawyer, Administrative Legal and Litigation Practice Unit, LegalService",0.3574026247825858
Sales Assistant,English Language Courses,Senior Loan Officer in Ararat marz,Application Manager,Regulatory Affairs & Medical Manager,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,Marketing and Sales Manager,Warehouse Manager,"Software Engineer, Layout Processing Department (YA)",0.486322669056027
Chief Financial Officer,Head of Financial Department,Irrigation Infrastructure Engineer,SCM Engineer,Senior Research and Development Engineer,C++ Engineer,Audiovisual Technician,Java Developer,Executive Director,Senior Lawyer,General Cashier,0.33747957623991987
Product Manager,Lawyer,IT Security Specialist,Administrative Assistant,Project Manager,Business Manager,C++ Software Developer,QA (Quality Assurance) Engineer,Graphic Designer,Annual Work Plan Coordinator on Multisectoral responses to,Commercial Customer Care Group Leader,0.03178200600853845
Procurement Officer,"Data Administrator 1 IT Division, Financial Monitoring Center","Senior Chief Lawyer, Contracts Division",Lawyer,Inspection Reform Expert,Shirak Airport Security Inspector,Project Manager,Accountant,QA Manager,Chief Accountant,Chief Cook,0.7174932799241027
Monitoring and Evaluation Officer,Chief Technology and Services Officer,Sales Manager in Food & Beverage Sector,Medical Representative,System Administrator,Senior Software Engineer,Language and Cultural Facilitator (LCF) for Pre Service Training,Credit Officer in Charentsavan Branch,C# .NET Developer,PR Marketing Manager,Senior Quality Assurance Engineer,0.5740789543034839
Cash Management Specialist,CAD Engineer,Area Manager,Sales Manager,Leading Specialist in Internatioonal Business Division,System Administrator for Product Development Department,Accounts Receivable Clerk,Lawyer,Assistant,"Director, Investment Banking",Product Manager,0.06019079744900648
Rural Roads Project Officer,Translator,iOS Developer,Software Engineer,Analyst Financial System Stability and Development Department,Software Architect Team Lead,Medical Representative in Gyumri,HTML & CSS FronA_PHONENUMBERd Developer Freelancer,SQA Engineer,Personal Assistant,Environmental Manager,0.4485321245981131
Counsel,Sales and Service Specialist,Program Manager,Financial Consulting Associate,Programmer 1C,Senior Software Engineer Database Department,National Expert on Policy Analysis,Welding Engineer,Ne2rk Administrator,Customer Care Co ordinator,Community Development Coordinator,0.35344963896062825
Environment and Social Impact Officer,Fr8 Forwarding Coordinator,Procurement Specialist,English Language Courses,Chief of Party,Driver,Chief Accountant,IT Specialist,VAS Ne2rk Operations Engineer,Gender Policy Programme Officer,Regional Retail Executive,0.2694355136246245
Water to Market Project Officer,"Senior Chief Lawyer, Contracts Division",Project Manager,Accountant,Deputy Director for Operations,Managing Director,Project Coordinator,QA engineer at Lycos Test Center,Base Station and Transport Administration Engineer,"Intermediate QA Analyst, Functional Testing",Retail Marketing Manager,0.4952300637748379
Irrigation Project Officer,Sales Consultant,Senior Programme Assistant,PHP Developer,Fr8 Forwarding Coordinator,Senior Java Developer,3D Modeler,Marketing Director,Franchise Manager,Project Website Developer Designer,iOS Software Engineer,0.21609655826701102
Tourism Manager,Quality Control Operator,HR Director,QA (Quality Assurance) Engineer,Senior Designer Art Director,Database Development Team Leader Fraud and Revenue Assurance,Web Engineer,Containers Forwarding Manager,Senior Software Engineer,iPh1 Application Developer,Project Manager,0.6339008064091077
Accountant,Interior Designer,.Net Developer,Librarian Information Specialist,Sales Manager,Proposal Writing Consultant,Inspection Reform Expert,"Senior Chief Lawyer, Contracts Division",Managing Director,Project Coordinator,QA engineer at Lycos Test Center,0.8900015811943288
Accountant,Lawyer,Lawyer,Credit Officer,Web Developer,Senior Marketing Specialist,Chief Financial Officer,HR Manager,Secretary Referent,Local Consultant for Rapid Assessment of Child Care Institutions,Deputy Director for Operations,0.7432140410056396
Program Assistant,Elections Initiative Coordinator,Receptionist Administrative Assistant,Supplier,Check Administrator,R&D Manager,Persian Armenian Translator Interpreter,Climate Control Equipment Operation Engineer,Senior Research & Development Engineer 2,Training on Tuberculosis for Mass Media Representatives,Verification Engineer,0.4654509039160913
Democracy and the Future of South Caucasus,Finance Director,English Language Courses,Regulatory Affairs & Medical Manager,Accountant,Software Engineer,Application Manager,Java Developer,Voter Registration Assistant,Analyst Financial System Stability and Development Department,Software Architect Team Lead,0.9103462815580035
Executive Director,Design Engineer,Executive Assistant,Customer Relationship Analyst Associate,Apprentice (Intern) Web Developer,Ground Handling MainA_PHONENUMBERance Manager,Promoter,Electricity Engineer,Regulatory Affairs & Medical Manager,Equipment Manager Controller,Application Manager,0.9885626943551362
.Net Programmer,Human Resources and Administrative Manager,"Head of Banking System Development Research, Banking Methodology",HR Director,Quality Control Operator,News ConA_PHONENUMBERt Manager,Technical Writer (Native English Language Capable Writer),Training on Modern Information Technologies,Product Manager Business Analyst,Database Development Team Leader Fraud and Revenue Assurance,Tourism Program Director,0.8096242028145259
Java Developer,Communications Senior Project Coordinator Expert,Office Administrator,Engineer,Italian Language Teachers,Medical Representative in Gyumri,Local Representative,Sales Agent,Project Officer Monitor,Advertising and Promotion Coordinator,Administrative HR Coordinator Cashier,0.18463079112422917
System Administrator,"Accountant, Gegharqunik Region",HR Director,Project Manager,Accountant,Teller Operator in Abovyan,Software Developer,Leading Auditor,MA in Journalism,SCM Engineer,Quality Control Operator,0.2779739630000527
Legal Commercial Law Translator,Operations Manager,Ne2rk Administrator,Administrator of Transfer Systems & Computer Technics Supporter,Medical Officer,Fr8 Forwarding Coordinator,Quality Control Engineer,Vardenis ADP Administrative Assistant,Java Developer,Project Assistant,Senior Software Engineer Database Department,0.33057502767090075
Water Cadastre & Database Development Specialist,Interior Designer,Vardenis ADP Administrative Assistant,Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,Waiter Waitress,Finance HR Assistant,Ne2rk Administrator Information Technology Specialist,Direct Sales Specialist,QA Manager,0.7060559742792389
Security Monitor Operator,Assistant Translator Interpreter,Software Engineer,HR Administrative Manager,Ground Handling MainA_PHONENUMBERance Manager,Trade Finance and Guarantee Department Specialist,Finance Director,Information Security Manager,Senior Software Developer,Tester Software Quality Assurance Engineer,Specialist in Problem Loans Management Unit,0.7172824540135982
Security Officer,Sales Manager,Teller,Developer,Medical Representative in Gyumri,HTML & CSS FronA_PHONENUMBERd Developer Freelancer,SQA Engineer,Personal Assistant,Environmental Manager,Business Diagnostics for Consulting,Finance Assistant Intern,0.5624308227481157
Tester Quality Assurance Engineer,Sales Manager,"Data Administrator 1 IT Division, Financial Monitoring Center",.NET Web Developer,Community Mobilization Officer,Store Director,Human Resource Manager,Graphic Designer,Marketing Assistant Social Ne2rking Promoter,Senior Web Developer,Environmental Social Expert,0.5991672376535077
Senior Software Developer,Fr8 Forwarding Coordinator,Design Engineer,Assistant in Accounting Department,Financial Assistant,PHP Web Developer,English Language Courses,VAS Ne2rk Operations Engineer,Application Manager,Senior Software Architect,Promoter,0.02514098982764982
Paid Internship for Lawyers,HTML Web Designer,Project Coordinator,Computer Aided Drafting (CAD) Technician,Messaging Collaboration Systems Engineer Administrator,Lawyer in Legal Department,Van Salesman,English Language Courses,Administrator at Reception,Merchandiser,Technical Specialist Team Leader for Quality Improvement,0.6870289358562167
Project Coordinator,Fr8 Forwarding Coordinator,Procurement Specialist,VAS Ne2rk Operations Engineer,English Language Courses,English Language Courses,Finance and Administration Director,Finance Assistant Intern,iPh1 Application Developer,Product and Tour Manager,Test Theory Specialist of the TASS Test,0.9567806883465978
Executive Assistant,Intern for Administrative Services Department Computer Ne2rk,Start up Manager,Senior Software Engineer Place & Route Department,Finance and Administration Director,Finance Assistant Intern,Regional Masters Programme in Human Rights and Democratization,Quality Assurance Engineer (QA Engineer I),Irrigation and Water Management Specialist,Teller,Finance and Adminstration Manager,0.2866705318083593
Senior Software Engineer,Lawyer,Credit Officer,Web Developer,Interior Designer,Salesperson Consultant,Business Analyst,Public Awareness and Media Consultant,Project Manager,Accountant,Fraud Risks Analyst,0.2134085279080799
Customer Service Manager,SQA Engineer,Chief Accountant,Lawyer,Finance and Administration Director,Regional Masters Programme in Human Rights and Democratization,IT Manager,Accountant,Designer,Training Workforce Development Specialist,National Project Coordinator,0.8228535286986771
Graphics Designer,Lawyer,Credit Officer,Web Developer,Project Manager,Deputy Director for Operations,Designer,"Senior Chief Lawyer, Contracts Division",Project Manager,Accountant,Manager of Digital Board Design and Layout,0.824909081326095
Armenian Bank Expert,Quality Control Engineer,HR Manager,Finance Director,Accountant,Interior Designer,Vardenis ADP Administrative Assistant,Flash Action Scripting Programmer,ASP.NET C# Senior Web Developer,Senior Auditor,Regulatory Affairs & Medical Manager,0.4823696832340695
Online Marketing Administrator,Sales Consultant,Business Risk and Control Specialist,Accountant,Commercial Director,Project Manager,Public Outreach Specialist,Shop Assistant,Construction Director,Senior iOS Developer,Designer,0.2985821957518579
Medical Quality Manager,Software Engineer,Sales Consultant,ICT Specialist,Business Manager,Delinquent Credits Collection Agent,Inspection Reform Expert,Agronomist,Quality Assurance Engineer,Assistant Translator Interpreter,Interior Designer,0.28255942655352345
Project Assistant,Fr8 Forwarding Coordinator,Chief of Party,Administrative Secretary,Manager Assistant,C C++ Software Developer,Reseller Merchandiser,Secretary,Agricultural Marketing Specialist,Senior Finance and Treasury Assistant,VAS Ne2rk Operations Engineer,0.3625151531123175
Geologist,Human Resources and Administrative Manager,Product Manager,Furniture Salesperson,Project Manager,Procurement Department Specialist,Auditor,Lawyer,Agronomist,Project Assistant,News ConA_PHONENUMBERt Manager,0.5792441891108417
Programmer,Software Engineer,Analyst Financial System Stability and Development Department,Software Architect Team Lead,Salesman Trade agent,CEDC Social Worker in Special Institution,Call for papers,Staff Accountant,"Engineer, IT & CM Department",Financial Services Specialist,On line Consultations on Import and Export Related Customs,0.6285247456912455
Regional Coordinator,Developer,Finance and Administration Director,Teller,Program Budgeting Trainer,Sales Manager,Community Outreach Officers,Amadeus Airticketing Course,Social Pedagogue,Boutique Sales Assistant,Sales Representative,0.9509302693301007
Internal Auditor,Engineer,Programmer,Tourism Department Operator,Human Resources and Organizational Development Manager,Senior QA Engineer,Project Manager for Armenian Cuisine Revival and Arts & Crafts,Risk Manager,Head of Commercial Department,Chief Specialist of Internal Banking Operations Department,"Marketing, Advertising and PR Director",0.7181784641332419
Lending Officer,Manager Assistant,Secretary Translator,Finance Director Chief Accountant,Engineer Sales Manager,Programmer,Exams Assistant,Website Designer,Procurement Manager,Medical representative,Support Engineer,0.7282454013598271
Sales Department Coordinator,Deputy Director for Operations,Vardenis ADP Administrative Assistant,Volunteer Registration & Request Process,Construction Project Supervisor,"Local Expert on Public Administration, UN Convention Against",HR Specialist,Project Manager,German Language Translator,Marketing Assistant,Back End PHP Developer,0.5913666789648447
Senior Programme Assistant,Chief of Party,Manager Assistant,Quantitative Developer Analyst,Junior Prfessional Associate,C# .Net Developer,Head of Marketing Division,Marketing Manager,Ne2rk Engineer,Tchambarak ADP Early Childhood Development and Child Protectionand Education Officer,"Poverty, Transition and Democracy in Armenia",0.37516470774258154
Search Engine Optimization Specialists,Project Manager,Assistant National Director,Senior Loan Credit Provider Monitoring Specialist,Community Development Specialist,Programme Officer,Graphic Designer,HR Director,Quality Control Operator,QA (Quality Assurance) Engineer,Head of Economic Planning and Analysis Unit,0.2707004690876509
Store Manager,Inspection Reform Expert,Ground Handling MainA_PHONENUMBERance Manager,Operations Manager,Finance Assistant Intern,"Data Administrator 1 IT Division, Financial Monitoring Center",Equipment Manager Controller,Senior .Net Developer,Vardenis ADP Administrative Assistant,Leading Specialist in Internatioonal Business Division,Quality Control Engineer,0.8038264902756549
Administrative Assistant,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,Marketing and Sales Manager,Warehouse Manager,"Software Engineer, Layout Processing Department (YA)",Credit Specialist,Head of Sales Specialists Division,Project Coordinator,Senior SW Integration Engineer,0.4680862277973963
Marketing Manager,Accountant Analyst,Radio Frequency (RF) Engineer,Inspection Reform Expert,Information Security Manager,Senior Software Developer,Tester Software Quality Assurance Engineer,Specialist in Problem Loans Management Unit,Electrical Engineer's Student,Leading Specialist in Internatioonal Business Division,Accountant,0.5252727560217151
Senior Software Developer C++ C#,Procurement Specialist,Senior Designer Art Director,PR Officer,Senior Loan Credit Provider Monitoring Specialist,Community Development Specialist,Programme Officer,Graphic Designer,Project Manager,Senior Software Engineers Java,Programmer,0.37347810045854635
Area Manager,Head of Internal Audit,Head of Marketing and Sales Department,Airport Customer Service Agent,Senior Research and Development Engineer,Watchmaker,Android Developer,Designer,FronA_PHONENUMBERd Developer,Sales Manager,Leadership Course,0.5403995151004058
Merchandiser,Database Development Team Leader Fraud and Revenue Assurance,Regional Retail Executive,Quality Control Operator,Salesperson Cashier,Junior Java Developer,Local Expert on Land Issues,Economist Tax Analyst,QA Engineer,Senior Software Engineer,Senior Software Firmware Engineer,0.7122753386391187
Translator Referent,QA (Quality Assurance) Engineer,Architect Designer,Chief Accountant,Software Developer,Translator Interpreter (AVET3),Project Manager,Planning & Analysis Specialist,Hardware & Systems Experts,Inventory and Commodity Analyst,Ne2rk Engineer Release Manager,0.8034575449322722
Sales Director,Head of Internal Audit,Finance and Administration Director,Programmer,Exams Assistant,Website Designer,Procurement Manager,Project Manager,Sales and Import Manager for Kitchen Equipment,Finance Analyst,Credit Specialist,0.493701575923681
Project Manager,Training and Institutional Capacity Building Specialist,EducationUSA Fair A_PHONENUMBER,Vanadzor Branch Manager,National Consultant in Forest Economics,Senior Accountant,.Net Developer,"Data Administrator 1 IT Division, Financial Monitoring Center",Inspection Reform Expert,Chief Cook,C# .NET Senior Developer Team Leader,0.3795393453855479
.Net Programmer,Chief of Party,Senior Software Architect,Fr8 Forwarding Coordinator,IT Specialist,Marketing Specialist Project Manager,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,Marketing and Sales Manager,Warehouse Manager,0.7915458809887735
Engineer Developer,Fr8 Forwarding Coordinator,Product and Tour Manager,Finance and Administration Director,Senior Java Developer,HR Administrative Manager,Assistant Secretary to the Regional Manager,Hi Tech Seminar on Software Process Improvement and Introduction,Ground Handling MainA_PHONENUMBERance Manager,Leading Specialist Supervision Department,Assistant Translator Interpreter,0.2992146734833711
Corporate Lawyer,QA (Quality Assurance) Engineer,Translator Interpreter (AVET3),Project Manager,Software Developer,Architect Designer,Chief Accountant,Automated Test Engineer,Internal Auditor,Assistant National Director,Reporting and MIS Specialist,0.35033995678068836
Customer Service Representative,iPh1 Application Developer,Manager Assistant,HTML Web Designer,Programmer,Exams Assistant,Website Designer,Procurement Manager,Armenia Country Director,Economist Engineer,Medical Representative,0.2145680704158541
Financier,Developer,Teller Operator in Abovyan,Marketing Specialist,Head of Economic Planning and Analysis Unit,Quality Control Operator,Project Manager,Instructor of Bank Legislation,Senior .Net Engineer,Senior Loan Credit Provider Monitoring Specialist,Community Development Specialist,0.7906498708691299
HR Supervisor,MSF Midwife,Receptionist,Visualizers Team Leader,Manager,Junior Software Engineer GUI Architect,Lawyer,Secretary Administrative Assistant,QA Engineer Tester,Inventory and Commodity Analyst,Lawyer,0.5409792863542929
Java Developer,QA (Quality Assurance) Engineer,Quality Control Operator,Assistant Brand Manager,Junior Prfessional Associate,Senior System Administrator,Security Officer,MA in Journalism,Procurement and Administrative Manager,Manager Assistant,Commercial Customers Service Division Head,0.7134348811468929
Receptionist,Assistant Translator Interpreter,Ground Handling MainA_PHONENUMBERance Manager,Medical Officer,Sales Consultant,Chief Accountant,Flash AS3 Developer,Mobile Device Software Engineer,"CAD Engineer, II SG",Credit Officers,Head of Operations & Benefits Group Human Resources Management,0.6751172719127181
Rural Lending Supervisor,General,Sales Manager in Food & Beverage Sector,Language and Cultural Facilitator (LCF) for Pre Service Training,Credit Officer in Charentsavan Branch,C# .Net Developer,Head of Marketing Division,Marketing Manager,Internal Control and Audit Unit Manager,Loan Promoter,.Net Developer,0.6360090655141517
Marketing Research Specialist,Quality Control Operator,QA (Quality Assurance) Engineer,HR Director,Project Manager,Architect Designer,Chief Accountant,Sales Manager,Human Resources and Administrative Manager,Teller Operator in Abovyan,"Senior Software Engineer, User's Interface & Flows Department",0.23854951773572972
Rural Development Program Specialist,Lawyer,Credit Officer,Web Developer,"Senior Chief Lawyer, Contracts Division",Chief Accountant,Chief Cook,Construction SuperinA_PHONENUMBERdent,Shirak Airport Security Inspector,QA Manager,Billing Platforms Senior Specialist,0.8808306540873874
Assistant to the General Secretary,Product and Tour Manager,Inspection Reform Expert,English Language Courses,Finance Director,Procurement Specialist,Regulatory Affairs & Medical Manager,Software Engineer,Application Manager,Vardenis ADP Administrative Assistant,Analyst Financial System Stability and Development Department,0.23317345701786749
Technical Translator Interpreter,WTM Credit Facility Assistant,Assistant Secretary to the Marketing Manager,Sales Consultant,Chief Accountant,Flash AS3 Developer,Mobile Device Software Engineer,"CAD Engineer, II SG",Credit Officers,Head of Operations & Benefits Group Human Resources Management,HR Manager,0.34454224424181734
Translator Interpreter,Senior Developer in Automated Test Department,Regional Retail Executive,Privatization Expert,Credit Specialist,Local Expert on Land Issues,Program Support Coordinator,Head of Production,PHP Developer,Web Designer,Driver,0.818057239234702
JavaScript PHP Software Developer,SCM Engineer,Local Information Officer,IT Specialist,TV Producer,Branch Cashier,PR and Communications Assistant,Cashier,Branch Manager,Advocacy and Transparency Specialist,Finance and Administration Manager,0.5500448005059821
"Manager, Projects and Development",Sales Manager,Finance and Administration Director,Program Budgeting Trainer,Hardware Engineer,HR Coordinator,Core Ne2rk Expert,Senior Software Engineer Place & Route Department,"Leading Loan Specialist, Lending Policy Management Division",Local Information Officer,Web Developer,0.6279976809149844
Administrative Assistant,English Language Courses,Finance Assistant Intern,Health Analyst,Database Administrator,Assistant in Accounting Department,Financial Assistant,PHP Web Developer,Medical Officer,Leading Specialist in Internatioonal Business Division,VAS Ne2rk Operations Engineer,0.8408264375691773
Director for Human Resources and Administrative & Legal Affairs,Administrator of Transfer Systems & Computer Technics Supporter,Accountant,Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,Waiter Waitress,Finance HR Assistant,Ne2rk Administrator Information Technology Specialist,Direct Sales Specialist,QA Manager,0.4471617561798345
Programmer,Senior Financial Advisor,Shop Sales Manager,Legal & Administrative Assistant,Design Engineer,PR Specialist,"Software Developer C#, C++, .Net",Senior Graphic Designer,Financial Advisor,IT Project Manager,Franchise Manager,0.6361144784694039
Graphics Designer,Senior Financial Advisor,Project Manager,Accountant,Ne2rk Administrator,Senior Software Engineer Database Department,National Expert on Policy Analysis,Welding Engineer,iPh1 Application Developer,Lawyer,Credit Officer,0.93580351025141
VoIp Technologies Specialist,Medical Representative in Gyumri,HTML & CSS FronA_PHONENUMBERd Developer Freelancer,SQA Engineer,Personal Assistant,Environmental Manager,Business Diagnostics for Consulting,Executive Director,Alaverdi Area Development Programme Team Leader,Finance Assistant Intern,English Language Courses,0.5148368734517472
Audit Assistant,Ne2rk Administrator,Senior Software Engineer Database Department,National Expert on Policy Analysis,Welding Engineer,Manager of Digital Board Design and Layout,Human Resources Specialist,Consultant,Investment Officer of the Fund for Rural Development in Armenia,"Media Advocacy Officer, Alternative Resources in Media Project",Head of Large Business Division,0.3605650134401518
Senior Auditor,Sales Manager in Food & Beverage Sector,General,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,Marketing and Sales Manager,Warehouse Manager,"Software Engineer, Layout Processing Department (YA)",Credit Specialist,Head of Sales Specialists Division,0.3657302482475096
Medical Representative,Assistant to Food and Beverage Director,Women Entrepreneurship Training*,Senior Web Developer,Construction and Implementation Project Manager,IT Specialist,Finance and Administration Director,Tourism Department Operator,Human Resources and Organizational Development Manager,Senior QA Engineer,Project Manager for Armenian Cuisine Revival and Arts & Crafts,0.14499551994940177
Shop Manager,"Analyst, Economic Statistics Development Division, Statistics",Embedded Linux BSP Engineer,Technical Support Engineer,Territorial Direction Customer Service and Sales Managers in,Electrical Appliance Store Director,Corporate Support Officer,Database Software Architect,Program Experts,Head Engineer Mechanic of food (canning) industry,Lawyer,0.13603541875296474
Teller,IT Specialist,Software Engineer,Chief of Party,Architect,Fr8 Forwarding Coordinator,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,Marketing and Sales Manager,Warehouse Manager,0.8791967532809782
GIS and Database Management Specialist,Voter Registration Assistant,Application Manager,Scriptwriters,Administrative Assistant,Team Lead Web Application Development and Design,National Finance Officer,"Senior Software Engineer, I",Quality and Training Consultant,Front End Developer,Software Engineer,0.34559637379433933
Receptionist Administrative Assistant,Fr8 Forwarding Coordinator,Translator,iOS Developer,Procurement Specialist,Program Manager,English Language Courses,Medical Representative in Gyumri,HTML & CSS FronA_PHONENUMBERd Developer Freelancer,SQA Engineer,Personal Assistant,0.5747641385126232
Administrative Secretary,Programmer,Exams Assistant,Website Designer,Procurement Manager,Regional Commercial Manager,iPh1 Application Developer,Sales Consultant,ConA_PHONENUMBERt Manager,Executive Director,Credit Analyst,0.007747852211036736
Industrial Graphic Designer,"Data Administrator 1 IT Division, Financial Monitoring Center",Inspection Reform Expert,"Senior Chief Lawyer, Contracts Division",Marketing and PR Manager,QA Engineer,Managing Director,Project Coordinator,QA engineer at Lycos Test Center,Base Station and Transport Administration Engineer,"Intermediate QA Analyst, Functional Testing",0.24698255415590575
Accountant,Ne2rk Administrator,Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,Waiter Waitress,Finance HR Assistant,Ne2rk Administrator Information Technology Specialist,Direct Sales Specialist,QA Manager,Software Engineer User's Interface and Flows Department,0.7562852474569125
Audiovisual Engineer,Inventory and Commodity Analyst,Web Designer,Driver,Assistant to Director of Sales,Office Manager,Junior Prfessional Associate,Software Developer,Administrative Assistant,IT Specialist,MSF Midwife,0.8329204659252623
Program Manager,"Senior Chief Lawyer, Contracts Division","Data Administrator 1 IT Division, Financial Monitoring Center",Inspection Reform Expert,Chief Accountant,Chief Cook,Construction SuperinA_PHONENUMBERdent,Shirak Airport Security Inspector,Environmental Education (EE) Technical Coordinator (short,QA Manager,Information Program Coordinator,0.9682179939914616
Gardener Landscaper,VAS Ne2rk Operations Engineer,"Head of Fraud Prevention and Monitoring Unit, Card Operations",Senior QA Engineer,Architect,Local Information Officer,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,Marketing and Sales Manager,Warehouse Manager,0.5761345069309018
Program Manager,QA (Quality Assurance) Engineer,Quality Control Operator,Regional Retail Executive,Commercial Customers Service Division Head,Architect Designer,Chief Accountant,National Assistant Finance Officer,Senior Analyst on Mobile Ne2rk Troubleshooting,Intern for UN Resident Coordinator Office,HR Director,0.9708533178727665
Administrative Assistant,Interior Designer,Ne2rk Administrator,Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,Waiter Waitress,Finance HR Assistant,Ne2rk Administrator Information Technology Specialist,Direct Sales Specialist,QA Manager,0.9893005850419017
Information Service Specialist,Executive Assistant,Customer Relationship Analyst Associate,Accountant,Finance Director,Design Engineer,Software Quality Assurance Specialist,Medical Representative,Administrator of Transfer Systems & Computer Technics Supporter,Regulatory Affairs & Medical Manager,Senior .Net Developer,0.2621093132345965
Internal Auditor,Fr8 Forwarding Coordinator,Executive Assistant,Chief of Party,Local Expert on Land Issues,MSF Midwife,Receptionist,Visualizers Team Leader,Manager,Junior Software Engineer GUI Architect,Lawyer,0.24566489221525326
Visual Basic Senior Software Developer,Senior Software Engineer,Project Assistant,Furniture Salesperson,Senior System Administrator,Executive Director,Quality Control Operator,Teller Operator in Abovyan,Sales Consultant,Project Manager,HR Director,0.41901649712749695
Developer in Automated Test Department,Sales Consultant,Marketing Analyst,"High School Specialist Engineer of the Subcomp1nt ""Enrichmentof the Upper Secondary Schools""",Finance and Administration Director,English Language Courses,Project Specialist,Implementation Unit Manager,ConA_PHONENUMBERt Manager,Furniture Salesperson,Java Developer,0.8364517999262109
