label,rank,0,1,2,3,4,5,6,7,8,9
.net software developer,0.4029781563,senior accountant,capacity building officer,armenian language cross-cultural facilitator lcf,legal affairs consultant/ senior lawyer,environmental education technical coordinator pre-service,medical representative,java developer,finance administration manager,senior software engineer design silicon division,legal advisor
c .net senior developer/ architect,0.4030940379,senior .net developer,specialist financial reporting department,senior specialist financial planning analysis methodology,senior operational risk specialist,head department marketing methodology banking,.net developer,c program developer,customers service department specialist vanadzor branch,driver replacement,head retail banking wealth management rbwm
specialist loan operations group,0.4032099195,head mechanics,program support assistant,telecom implementation site engineer/ supervisor,field coordinator tass test,security guard,assistant chief accountant,economic development specialist,national coordinator,quality control supervisor,lead software engineer design silicon division
communications officer,0.4032099195,head reporting unit,acquiring chargeback clerk,personal assistant ceo,international account representative,senior specialist banking operations monitoring division,assistant international project administrator human,computer network administrator i information communication,project manager,technical manager,loan officer
coordinator local governance programme south caucasus north,0.4033837418,programme assistant,medical representative,it specialist,field office accountant,senior c++ developer,medical representative yerevan,financial advisor,programmer,project manager,leading system development support specialist
tour operator,0.4038472681,financial analyst,php developer,telecommunications engineer,financial control payments clerk,project coordinator,training specialist coordinator,lawyer,landmine public awareness specialist,management consultant,tester/ quality assurance engineer
senior c++ software developer,0.4043107944,head dealing operations department,senior qa engineer,interviewer statistics department,personal assistant ceo,manager accounting department,lori marz health coordinator,social worker disability resource center spitak,information communication officer social media/ editorial,ict support associate,`` kapan '' branch manager
native/ near-native english teacher,0.4046584391,head personnel training division,internal audit manager,legal officer,legal counsel,head credit monitoring division,chief financial officer,project manager,`` promoting rights children adolescents mental health,head mechanics,sales marketing manager
key account representative,0.4055275508,financial analyst,chief party,project coordinator,training specialist coordinator,lawyer,landmine public awareness specialist,management consultant,tester/ quality assurance engineer,chief accountant,c .net senior developer/ team leader
economist,0.4055854916,chief accountant,laboratory technician,systems manager,junior expert fellow media monitoring analysis,lawyer,software developer,chief accountant,economist,team leader architect wireless network embedded software,sales manager
accounting assistant,0.4057013732,data quality developer,marketing expert fixed business convergent solutions,analyst,core engineer,legal expert cybercrime issues,sales manager/ seller,manager accounting department,communication coordinator,news editor,financial/ administrative manager
junior web designer,0.4058751956,c/ c++ software engineer,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,personal assistant ceo,manager accounting department,information communication officer social media/ editorial,project manager,php developer
senior r d engineer i/ sg,0.4061648995,c++/c software developer,chief financial officer,junior legal assistant,chief specialist cash operations division,chief accountant/ auditor,sales person,product manager personal lending services division,component team leader,senior software architect,marketing coordinator
accountant-analyst accounting department,0.4063387218,php developer,junior lawyer,roaming specialist,supply manager,telecommunications engineer,tester/ qa engineer,cashier,business cooperation division head,accountant,expert international law
driver machinery type backhoe loader skid steer loader,0.4064546034,financial analyst,administrative assistant,radio electronic engineer,software quality assurance engineer,security service specialist financial economic security,telecommunications engineer,project coordinator,training specialist coordinator,lawyer,landmine public awareness specialist
salesperson,0.4065125442,test center administrator,head foreign languages chair,product manager,qa engineer deep submicron department,senior software/ platform engineer,information systems administrator information communication,senior financial analyst,security guard,head medical representatives,draftsman
dealer,0.4066863665,software engineer,programmer,specialist legal department,head mechanics,distance customer service specialist,head personnel training division,loan officer kajaran branch retail banking unit,key account manager,procurement specialist,electronics engineer
sales manager,0.4074975375,yerevan transformational development facilitator,software developer/ programmer,senior javascript developer,billing credit control consultant,java developer,newswriter,senior qa engineer,corporate lawyer,community technology access consultant,administrative secretary
head marketing division,0.4077872414,functional qa team lead goris,teller/ operator yerevan,architect-engineer,website content manager,database administrator,construction project manager,c/ c++ software engineer,computer programmer,the value chain business development specialist,senior software engineer
merchandiser,0.4078451822,software backend developer,chief party,mill crusher conveyer operator,php developer,marketing communications manager,sociologist,programmer,mobile eye hospital meh assistant,finance adminstration manager,corporate finance unit senior specialist
sanitary supervisor,0.4080769454,apprentice intern web developer,java software developer,software engineer/ qa,programmer,senior c++ developer,website editor,credit officer,program coordinator,public relations consultant,backhaul transmission senior engineer
construction manager,0.4103945767,managing real estate broker,ios/ objective c developer,information officer,software quality assurance engineer,accountant-cashier,php developer,lawyer,senior ios developer,head human recourses management department,system administrator
branch manager,0.410858103,hr intern,ui web engineer,receptionist,specialist assisting public bodies/ policy legal acts,executive assistant,programme associate,iphone application developer,secretary,android developer,sales advisor
domestic expert/ consultant public sector accounting,0.4110319254,php developer,junior lawyer,public relations pr specialist,senior credit officer,marketing manager,driver,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer,deputy chief accountant financial reporting
credit officer aparan,0.4112057477,cad/cam engineer,accountant,junior database developer,internal auditor,web hosting service administrator,containers forwarding manager,sales marketing specialist,secretary/ administrative assistant,agricultural marketing specialist,math research specialist
store manager/ operations director,0.4112636885,head dealing operations department,executive/ administrative assistant,system analyst,administrative secretary,marketing assistant,personal assistant ceo,assistant director,php developer,supervisor,executive assistant
technical consultant,0.4121328003,deputy chief accountant,doctor/ expert,sales marketing professional,medical representative nagorno karabakh,engineer,web designer/ programmer,analyst,agronomist,tester/ quality assurance engineer,hr manager
senior java web developer,0.4121328003,import logistics manager,grant specialist,mobile information service operator/ information call center,procurement manager,medical representative shirak,nss engineer,treasurer,factoring officer corporate finance department,project engineer,administrative assistant
driver,0.4121907411,hr specialist,program associate,specialist commercial affairs department,contract specialist,training development officer,project manager,flash developer,client side web developer,software engineer,software engineer
1c administrator,0.412480445,warehouse shift supervisor,c senior software developer,contractor/ intern,statistical programmer,interpreter,electrician,deputy director administration,database content management system developer,teller zvartnots branch,plastic cards specialist
team leader/ expert monitoring enpi implementation,0.4126542673,operator/air tickets seller,senior specialist lending operations division,hr assistant,testing engineer,senior qa engineer,chief accountant,product specialist,lawyer administrative legal litigation practice unit legal service,head internal audit,junior expert na standing committee economic affairs
evaluation national consultant,0.4127122081,php/ mysql developer,project evaluation consultant,credit analyst,senior .net developer,it engineer,transport manager,driver,accountant,internal auditor,customs broker
training liaison/ monitor,0.4128860305,diesel/ rental sales representative,procurement specialist,gavar area development program administrative officer,market developer,internal auditor,head product development division,director assistant,parts marketing specialist,senior r d engineer,engineer
qa engineer,0.4128860305,it engineer,junior software engineer,tour manager,ux designer,intern world vision south caucasus communications department,php developer,researcher,experienced it specialist/ information security officer,java software developer,it specialist/ system administrator
deputy chief accountant,0.4133495568,finance officer/ cashier,chief accountant,rural development program officer,head sales quality control group,medical representative nagorno karabakh,store manager,director fund,medical representative,audit assistant,customs broker
junior prfessional associate,0.4134654383,program coordinator,auditor,credit officer,social worker,designer,intermediate java developers,secretary/ translator,project assistant,rental agent,junior php developer
finance advisor,0.4134654383,senior software engineer,customer support representative,head systems operations division,loan specialist,head small medium enterprises commercial lending division,reservations agent,accountant,sales director,office accountant,business development manager
curriculum development consultants,0.4139289646,head personnel training division,legal officer,economic development specialist,project manager,software engineer,apprentice intern web developer,java software developer,programmer,software engineer/ qa,head doctor
c++ software developer,0.4140448462,community health education technical coordinator pre-service,teaching english foreign language tefl technical,lawyer,head mechanics,head sales service department,lead software engineer design silicon division,marketing/ pr specialist,sociologist/ fieldwork manager,php software developer,senior executive sales marketing manager
java software developer,0.4142766093,programmer,mobile eye hospital meh assistant,finance adminstration manager,corporate finance unit senior specialist,trust management unit senior specialist,head legal services,chief director,c .net developer,accountant,computer digital appliances seller
corporate affairs trainee,0.4145083724,hr assistant,architectural designer,software test developer,brand manager,lending officer,senior software engineer,information systems technologies coordinator,client relationship management group specialist development,logistics manager,medical representative vanadzor
marketing coordinator,0.4146821948,php developer,back office manager,telecommunications engineer,monitoring evaluation officer,junior lawyer,senior qa engineer,marketing manager,store manager,senior research development engineer -2,head office/ program coordinator
senior c/ c++ software engineer/ team leader,0.4147401356,php developer,back office manager,supply manager,marketing manager,associate finance administrative officer maternity cover,sociologist,retention loyalty consultant,receptionist/ admin assistant,junior lawyer,civil society program officer
anti-money laundering aml officer,0.4148560172,photoshop graphic web designer,customer service representative kapan branch,house manager,administrative assistant,category manager,frontend developer,system/ db administrator,chief financial officer,flash/ as3 developer,sociologist
capital markets unit head,0.4150298395,cardholder relationship management division specialist card,project manager,head personnel training division,short-term consultant cso organizational development,lawyer,economic development specialist,it specialist,programmer,accountant,legal officer
business consultant,0.4150877803,audit intern,general cashier,head personnel training division,transmission network planning engineer,production manager,software engineer,specialist legal department,business intelligence analyst marketing department,lawyer,internal business plan preparator
sales development specialist,0.4152616026,security officer,technologist natural juice production,system analyst,translator,warehouse director,distant banking services expert,national assistant finance officer,sales person/ cashier,head dealing operations department,marketing specialist
senior java developer,0.415435425,doctor ultrasound diagnostics 5-year mobile medical,support consulting specialist,storekeeper,software developer,mobile phones specialist,personnel recruitment retention senior specialist,jsp/java developer lycos chat,pre-seller/ market developer,trust management unit senior specialist,receptionist/ executive assistant
beauty care brand manager,0.4156092473,director engineering,java developer,billing specialist,housing finance manager,java developer,java developer,tefl technical coordinator short tirm pre-service,administrative information reporting division head,administrative/ supply assistant,credit specialist administration underwriting consumer
information specialist,0.4157251289,international sales manager,team lead business enabling environment,c++ software developer,software developer,tax policy expert,mutual funds unit senior specialist,user experience specialist,head payment cards atm pos terminals operations,head retail sales department,electrician
young macroeconomist monetary policy department,0.4157830697,coordinator corporative business sales,cook,consultant,software architect,health analyst,ict network trainee,layout engineer,hr administration assistant,program manager,isp/ it director
quality assurance/ standards specialist,0.4158989513,`` promoting rights children adolescents mental health,director restaurant complex,post financial service officer,legal counsel,software engineer,production operator,administrative assistant,national expert technological limitation emissions,credit analyst,software qa engineer
secretary/ assistant director,0.4161886552,web developer,specialist assisting public bodies/ policy legal acts,senior qa engineer,hr specialist,android developer,c++ developer,consultant infrastructure assets maintenance plan,senior consultant management advisory services,secretary,intern legal advisory services department
the turpanjian rural development program leader,0.4164783591,finance manager,c .net senior developer/ team leader,chief accountant,teller supervisor,sales representative,logistics department manager,marketing expert fixed business convergent services,specialist corporate banking products methodology,senior software performance engineer,mid-level front end developer
project assistant,0.4165362999,java developer,maintenance engineer,loss prevention/ security senior supervisor,financial control taxation report clerk,assistant museum registrar,regional representative,java developer,reporting mis specialist sql programmer,lawyer,sales marketing director
national expert policy integrated water resource,0.4165362999,medical representative,systems analyst,banking services manager vanadzor branch,accountant,senior lending officer,controller,administrative assistant,lawyer/ advocate,accountant,risk management senior specialist
chief state service food safety,0.4168260038,key account manager,head fraud management revenue assurance division,development director,qa engineer,software engineer,head personnel training division,sales agent,head mechanics,showrooms salesman,junior database developer
gyumri adp manager,0.4171157077,accountant,head dealing operations department,graphic designer web/print,medical representative,teller zvartnots airport branch,election coordinator,sales manager,national assistant finance officer,sales person/ cashier,administrative assistant
sales promotion product development specialist,0.4171157077,developer,iphone application developer,android application developer,expert restoration forest landscapes,fpga design verification engineer,database developer,chief accountant,associate operations officer/operations officer,credit risk officer,marketing consultant b2c
shop/ sales manager,0.4172895301,teller intern,c++/c software developer,procurement specialist,sponsorship coordinator,project manager,retention loyalty consultant,technologist canned food production,assistant director founder,national consultant,sme credit officer branch kapan
shop operator,0.4173474709,administrative secretary,accountant assistant/ cashier,financial products specialist,administrative assistant/ receptionist,financial manager,associate economics analyst,capex accountant,advocacy advisor,assistant management advisory services and public relations,data processor
project director/ country representative armenia,0.417579234,telecommunications engineer,receptionist/ office administrator,native persian speaking manager,property plant equipment manager/ senior caretaker staff/,mobile application developer,mobile access networks planning optimization engineer,specialist receivables management department,procurement manager,medical representative shirak,import logistics manager
chief specialist monitoring division department,0.4178109972,chief party,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer,project coordinator,training specialist coordinator,lawyer,landmine public awareness specialist,management consultant,tester/ quality assurance engineer
medical representative,0.4180427603,wpf developer,chief party,food security specialist,senior system engineer,electronics engineer,designer,pcb printed circuit board electromechanical designer/,social worker disability issues,software test developer,sales customer service representative
java developer,0.4189118721,lawyer,program support assistant,specialist legal department,corporate collections head,it specialist,procurement manager,senior information security engineer,back office specialist operational unit sayat nova branch,web ui developer,program clerk
call center consultant,0.4193753983,national programme development director,business loans department leading specialist,retail salesperson/ sales consultant,chief accountant,socio-economic governance programme analyst,assets liabilities management unit specialist,medical representative,team lead web application development design,international relations coordinator,community watershed management component coordinator
team lead web application design development,0.4194912799,personal assistant ceo,administrative secretary,customer care manager,c .net developer,assistant category manager,market research intern,executive director center nuclear medicine,c/c++ software developer,sales director,accountant assistant/ cashier
chief accountant,0.4199548062,head internal audit,head anti-money laundering terrorism financing prevention division,financial manager,managing director car sales center,it auditor,corporate lawyer,community technology access consultant,compensation benefits specialist,it manager,chief gardener
service engineer,0.4199548062,sales marketing manager,it engineer,community health education technical coordinator pre-service,senior qa engineer,teaching english foreign language tefl technical,after-sales specialist,head analytical department,sales manager,it director,network management centre engineer
senior web developer,0.4202445101,mfc gui developer,designer,team lead/ senior java software developer,hr representative ii,administrative assistant,graphic designer,it specialist,software engineer/ qa,asp.net software developer,project accountant
senior system administrator,0.4204762732,mobile access networks planning optimization engineer,php developer,receptionist/ admin assistant,radio network planning engineer,medical representative,coordinator corporative business sales,cook,java developer,experienced it specialist/ information security officer,java software developer
head legal department,0.4207080364,php developer,store manager,.net developer,marketing manager,civil society program officer,senior qa engineer,mill crusher conveyer operator,java developer,expert international law,national project coordinator
environmental specialist,0.4208818587,teaching english foreign language tefl technical,senior accountant/ systems administrator,community health education technical coordinator pre-service,junior legal assistant,lawyer,project coordinator,project coordinator `` fostering multi-stakeholder,project manager,seller,receptionist/ administrative assistant
marketing manager,0.4209977403,marketing pr specialist,business financial analyst,manager masis branch,accountant,operator/ shop assistant,accountant,non-communicable diseases ncd advisor,system administrator,interpreter,procurement manager
assistant international project administrator,0.4209977403,head fraud management revenue assurance division,expert logistics coordinator,credit officer /individual business crediting/,interviewer statistics department,seller,team lead/ senior java software developer,expert restoration forest landscapes,php developer,legal officer,supply manager
hr specialist,0.4210556811,interviewer statistics department,construction business development marketing officer,finance assistant,english language instructor,sales specialist,.net developer,operator/ cashier,warehouse manager,graphic designer,credit officer /individual business crediting/
designer,0.4220986152,brand manager,executive director,receptionist/ administrative assistant,contract officer,assistant director,doctor-expert,administration supervisor,financial/ administrative manager,territorial direction customer service sales manager,medical representative
senior economist strategy methodology department,0.4220986152,management information systems manager,qa engineer,.net developer,c++ software developer,jeweller-valuer,manager,project manager project `` improvement water supply,visual manager/ sales consultant,sme crediting products development methodologist,graduate trainee it department
adobe flex developer,0.4227359638,medical representative nagorno karabakh,finance controller,deputy commercial director,chauffeur fsn-3 fp-bb*,marketing manager,product owner,project supervisor,cashier,industrial/ graphic designer,designer
manager,0.4227939046,head human resources department,product owner,project supervisor,loan officer,risk management specialist,logistics specialist,asp.net developer,`` migration development '' project manager,credit officer /individual business crediting/,senior mediaplanning specialist
sales manager,0.4230256678,director engineering,telecommunications engineer,advocacy advisor,community health education technical coordinator pre-service,teaching english foreign language tefl technical,head legal service,php developer,administrative secretary,medical advisor,executive director credit organization
business consultant,0.4233153717,it reporting engineer,armenian language editor,fixed telephony business marketing expert,branch representative intern,computer database administrator,teller etchmiadzin branch,receptionist,c++ senior software developer,php developer,senior financial analyst
community health education technical coordinator pre-service,0.4245900689,community health education technical coordinator pre-service,director engineering,teaching english foreign language tefl technical,legal counsel,showrooms salesman,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,social worker disability resource center spitak
product specialists medical devices diagnostics md d,0.4248797729,tourism specialist,network engineer,community business development technical coordinator,development finance senior advisors,microsoft .net c developer,research analyst,area manager,phone sales manager,civil society program officer,senior java backend developer
c .net developer,0.4248797729,assets liabilities management unit specialist,procurement officer,senior specialist financial planning analysis methodology,`` kapan '' branch manager,internal control specialist,revenue assurance senior engineer,office manager,head retail banking wealth management rbwm,driver replacement,claims specialist
recruiter,0.4251694768,showrooms salesman,lead software engineer design silicon division,expert restoration forest landscapes,financial/ hr officer,medical doctor,customs specialist,construction director,language assistant/ translator rta,development director,head fraud management revenue assurance division
cashier/ accountant,0.4256330031,system administrator,analyst,senior r d engineer/ icwb,assistant director,lawyer,wpf developer,pharmacist,manager interaction internet service providers,direct-sales specialist,procurement manager
hardware systems experts,0.4260385886,java developer,database developer,chief accountant,associate operations officer/operations officer,java developer,senior qa analyst functional testing,senior javascript developer,sociologist/ fieldwork manager,php software developer,senior executive sales marketing manager
android developer,0.4262124109,c .net senior developer/ team leader,chief accountant,teller supervisor,sales representative,logistics department manager,marketing expert fixed business convergent services,specialist corporate banking products methodology,senior software performance engineer,mid-level front end developer,agronomist
it support engineer,0.4271974043,chief financial officer,assistant director,frontend developer,regional retail executive,php developer,production operator,frontend developer,medical advisor,executive director credit organization,furniture designer
reservation ticketing agent,0.427255345,assets liabilities management unit specialist,national coordinator,international project coordinator,lawyer,project manager,national professional officer no-b,loan officer,executive/ administrative assistant,office manager,short-term consultant cso organizational development
project manager,0.427545049,financial director,announcements moderator,field operations manager dried fruit vegetable herbs,translator/ interpreter,medical representative,delivery service supervisor,head ojsc,logistics manager,graphic designer,customer support engineer
head corporate key clients state bodies cooperation group,0.427545049,translator/ interpreter,marketing specialist,monitoring evaluation specialist,java frontend developer,controller,c software developer,sharepoint developer,service engineer/ mechanic,south caucasus finance officer,pre-service training community youth development cyd
sales assistant accounting,0.4278926937,senior engineer,finance officer/ cashier,outdoor advertising designer,credit officer,executive director,occupational safety health expert,project assistant,software engineers,international relations officer,call center operator
agronomist,0.4281244568,php developer,telecommunications engineer,flash/ as3 developer,sociologist,nss engineer,treasurer,mobile access networks planning optimization engineer,senior financial analyst,java developer,public relations pr specialist
administrative project assistant,0.4286459239,programmer,software engineer,economic development specialist,specialist legal department,financial advisor,head personnel training division,loan officer kajaran branch retail banking unit,administrative assistant/ translator,1c programmer,vice-president mergers acquisitions unit
tax legal services associate,0.4287618054,marketing manager,financial services specialist,technical writer/ patent attorney,loan officer,memory design senior manager,procurement specialist,grants manager,internal audit manager,it network administrator,senior application developer
aid development program specialist monitoring evaluation,0.428877687,secretary/ administrative assistant,in-house attorney,head individual premium client managers ' service,system administrator,retail salesperson/ sales consultant,software projects specialist,artashat branch manager,sales advisor,senior .net developer,it senior systems administrator
regional merchandiser gyumri,0.4289356278,finance manager,software developer,c .net senior developer/ team leader,chief accountant,teller supervisor,sales representative,logistics department manager,marketing expert fixed business convergent services,specialist corporate banking products methodology,senior software performance engineer
secretary/ referent,0.4299785619,lawyer,appraiser,it specialist,financier,program support assistant,researcher country assessment health insurance aspects,logistics/ freight forwarding manager,chief accountant,administrative assistant,project manager
risk manager,0.4306738513,procurement specialist,customer service representative,development assistant,seller,psychologist,programme assistant,driver,pre-seller,annual work plan coordinator multisectoral responses,1c programmer
civil engineer,0.4307317921,finance assistant,english language instructor,sales specialist,`` migration development '' project manager,accountant/ cashier,wpf developer,senior electronic/ software engineer,deputy chief accountant,android developer,sector coordinator
accountant,0.4313691407,php developer,expert international law,marketing manager,junior lawyer,mobile application developer,sociologist,chief party,software backend developer,water service agency wsa restructuring advisor,import manager
brand manager,0.4321223709,lawyer/ legal advisor,public relations director,armenian bread bakery technologist,international project coordinator,java developer,senior java developer architect level,artashat branch manager,lawyer,volunteer,credit specialist
sales trainer,0.4324700156,cardholder relationship management division specialist card,contract management specialist,head analytical department,php developer,market research analyst,sampling agent,manager accounting department,secretary,restaurant manager,senior software engineer/ gui architect user interface flows
sharepoint developer,0.4324700156,head analytical department,frontend developer,marketologist/ analyst,junior legal officer,senior .net developer,chief financial officer,administrator/ coordinator,customer support engineer,office manager/ engineer,marketing manager
secretary,0.432643838,web developer,database/ system administrator,program expert,c .net senior developer architect,chief engineer,telecommunications/ regulatory/ it translator,executive director,technical support engineer,web developer,cashier/ accountant
salesperson/ cashier,0.432643838,draftsman,senior database engineer,seller,mobile access networks planning optimization engineer,procurement specialist,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer,driver,secretary
driver,0.4333970682,intern/ system administrator,accountant,hr administration assistant,.net developer,interviewers market research 6 positions short term,senior operational risk specialist,senior network administrator,c program developer,customers service department specialist vanadzor branch,senior .net developer
medical representative,0.4335129498,interpreter/ translator,office assistant,asp.net mvc developer,human resources recruitment manager,human resources assistant,software developer,senior economist/ expert public administration,c software developer,ios developer,c .net backend developer
project manager,0.4337447129,head analytical department,community health education technical coordinator pre-service,project coordinator,medical representative,c .net developer,php developer,telecommunications engineer,teaching english foreign language tefl technical,credit officer /individual business crediting/,sales clerk referent
internship media department,0.4341502984,php developer,seller,branch manager,it manager,network administrator,it support administrator,accountant,senior r d engineer,procurement specialist,lawyer
senior finance controller,0.4343241207,chief financial officer,project manager sustainable livelihoods program,procurement administrative manager,guide,database administrator,public relations director,hr specialist,advocacy program assistant,customer support specialist,database administrator
head commercial marketing department,0.4354829364,community health education technical coordinator pre-service,teaching english foreign language tefl technical,telecom implementation site engineer/ supervisor,head mechanics,project team assistant,manager accounting department,network administrator,restaurant manager,it specialist/ system administrator,credit analyst
senior java developer,0.4354829364,retail salesperson/ sales consultant,it specialist,senior c++ developer,backhaul transmission senior engineer,software projects specialist,english-german languages translator,volunteer,credit specialist,food beverage f b supervisor,it director
marketing specialist,0.4361782259,.net developer,senior .net developer,interviewers market research 6 positions short term,information communication officer social media/ editorial,administrative assistant,specialist financial reporting department,c software developer,head retail banking wealth management rbwm,manager accounting department,brand manager
expert/ trainer delivering workshop,0.4362361666,head credit monitoring division,project manager,personal assistant ceo,assistant director,finance administration manager,senior software engineer design silicon division,statistical programmer,`` migration development '' project manager,head reporting unit,social worker disability resource center spitak
aparan branch manager,0.4362361666,accountant,resource/ software development director,pr/ advertising manager,internship programme,shop it engineer,web developer,telecom installer/ engineer,pr/ marketing director,trainer conducting training local sub recipient ngos,administrative assistant
hr specialist,0.436409989,it specialist,lawyer,administrative assistant,irrigation infrastructure civil engineer,chief accountant,junior analog design engineer,nss engineer,treasurer,contact center project coordinator,project coordinator `` fostering multi-stakeholder
gynaecologist 5-year mobile medical teams mmt project,0.4369314561,specialist financial reporting department,senior .net developer,head retail banking wealth management rbwm,head department marketing methodology banking,java software developer,intern/ system administrator,sme credit officer yerevan,procurement department specialist,information education communication iec assistant,pr communications assistant
project coordinator,0.43722116,senior qa engineer,receptionist/ administrative assistant,voip network engineer,head dealing operations department,senior loan officer,cost analyst,journalist,accountant,database developer,group leader quality control
place route software engineer,0.43722116,social worker,merchandiser,operator/ cashier,general education specialist subcomponent `` supporting,negotiator,office administrator/ secretary,leading specialist financial control division,managing director car sales center,procurement specialist,national team manager
php developer,0.437742627,office manager,layout design engineer ii/ asic,medical representative,head personnel training division,project manager,leading system development support specialist,assets liabilities management unit specialist,driver,specialist financial reporting department,head operational unit kapan branch
general manager,0.4384379164,non-communicable diseases ncd advisor,medical representative nagorno karabakh,financial director,announcements moderator,it teacher full time,medical representative,rental agent,sales unit manager,operations manager,project coordinator
marketing recruitment specialist,0.4384379164,marketing/ pr specialist,legal officer,seller,head fraud management revenue assurance division,key account manager,java software developer,qa automation engineer,director restaurant complex,english language instructor,national program assistant/ politico-military activities
web application developer,0.438553798,project team assistant,project manager,`` kapan '' branch manager,assets liabilities management unit specialist,database administrator/ programmer,loan officer,head credit monitoring division,shop assistant,office manager,head operational unit kapan branch
office administrator/ logistics specialist,0.4390752651,.net software developer,communications executive/ pr specialist,program intern,`` sustainable management biodiversity southern caucasus '',loan officer,training coordinator center innovative solutions,layout engineer,head credit back office,fraud management senior specialist,food production technologist
section manager store,0.4394229098,medical representative,driver,wpf developer,senior r d engineer,financial controller,chief party,marketing specialist,medical representative,system administrator,finance bds specialist `` markets meghri '' project
local proposal writing expert,0.4396546729,director engineering,android developer,computer salesman,research development engineer,community health education technical coordinator pre-service,asp.net developer,teaching english foreign language tefl technical,chief security,monitoring evaluation assessment learning sharing team,java junior developer
mis consultant aregak micro credit program,0.4397126137,nss engineer,treasurer,office manager,project manager sustainable livelihoods program,procurement administrative manager,guide,database administrator,public relations director,hr specialist,advocacy program assistant
teller/ operator yerevan,0.4398284953,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer,driver,programme assistant,.net software developer,communications executive/ pr specialist,financial analyst,administrative assistant,radio electronic engineer
technical assistant manager,0.4400602584,telecommunications engineer,driver,php developer,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer,associate finance administrative officer maternity cover,financial analyst,junior lawyer,programme assistant
hr/ recruitment specialist,0.44017614,software engineer,financial officer,interpreter/ translator,tourism program director,executive director,senior system analyst,project assistant education young people 's health,system administrator,engineer-designer/ estimator,head claims department
senior client solutions engineer,0.4408134886,programme assistant,medical representative,cashier,program coordinator,public relations consultant,senior c++ developer,backhaul transmission senior engineer,java senior developer/ architect,apprentice intern web developer,java software developer
national transport engineer,0.440987311,specialist customer transactions formalization division,training development specialist,interviewer armavir statistics department,communication responsible,3d modeling 3d animation content developer,accounting assistant,senior performance engineer,web developer,.net developer,user interface/ web designer
website moderator,0.4410452518,showrooms salesman,community health education technical coordinator pre-service,personnel recruitment retention senior specialist,product manager,teaching english foreign language tefl technical,chief specialist cash operations division,chief accountant/ auditor,sales person,product manager personal lending services division,component team leader
data product sales officer,0.441798482,apprentice intern web developer,java software developer,head personnel training division,software engineer/ qa,it reporting engineer,programmer,economic development specialist,android developer,designer,website editor
credit portfolio analyst,0.4420302451,procurement manager,secretary,php developer,cashier financial department,network engineer,restaurant manager,intern rural development programs,tax manager,social expert/ project officer,software engineer
office manager,0.4422040674,project manager,client support engineer,driver-convoy,national coordinator international information system,java team leader,interview committee members,software engineer,receptionist/ administrative assistant,client advisor vanadzor branch,senior software engineer deep submicron department
sales marketing manager,0.4426096529,appraiser,asp.net developer,consultant,cashier,lawyer,pr marketing manager,national consultant/ contractor,senior system administrator,scm engineer,deputy chief accountant
call center specialist,0.4430731792,communications electronics engineer,accountant/ finance manager,assistant head legal unit,data analyst,assitant head center,project advisor,sme credit officer branch kapan,climate control equipment operation engineer,java developer,programme assistant
database engineer,0.4435367055,java developer,yerevan transformational development facilitator,application support specialist,chief engineer,control engineer,verification engineer,regional sales director,.net programmer,technical translator/ interpreter,legal consultant
senior php zend2 developer,0.4435946463,procurement specialist,brand manager,systems manager,senior lawyer contracts division,php developer,system architect,programmer,building manager,senior financial officer,chemist/ analyst
senior software developer,0.4436525871,translator/ interpreter,expert standing committee state legal affairs,senior site engineer,lawyer,lori marz development manager,marketing specialist,monitoring evaluation specialist,horeca marketing representative,community development specialist,local expert higher education e-learning
sales marketing officer,0.4441161133,project manager,head credit monitoring division,office manager,business advisor/ specialist,assistant accounting department,policy quality assurance expert youth,shop assistant,project team assistant,c software developer,head personnel training division
personal assistant ceo,0.4441740541,credit officer,lawyer,it manager,frontend developer,project manager,head reporting block,it engineer,short-term consultant cso organizational development,department manager,commercial project manager
nss engineer,0.4445796396,administrator/ coordinator,frontend developer,chief financial officer,executive director,software developer,rural development specialist,small medium business programs developer,program officer,customs broker,c++ software developer linux
warehouse manager,0.4453908106,coordinator civil society/ human rights programs,site engineer,senior php developer,senior java software developer,junior programmer analyst,delinquent credits collection agent,programmer,mobile eye hospital meh assistant,finance adminstration manager,corporate finance unit senior specialist
linux system/ web server consultant,0.4455646329,telecommunications engineer,office internal auditor,php developer,qa engineer,supply manager,head fraud management revenue assurance division,communication service center csc agent,environmental project coordinator,project accountant,teaching english foreign language tefl technical
product manager,0.4456805145,contractor/ intern,loan officer kajaran branch retail banking unit,head operational unit kapan branch,hr/ admin intern,software engineer,procurement officer,asp.net r d engineer,training development officer,key account manager,senior relationship manager commercial banking
project development specialist,0.4460861,language assistant/ translator rta,chief accountant,internal communication specialist,qa engineer,lead software engineer design silicon division,showrooms salesman,senior credit adviser yerevan,vpn engineer,head mechanics,database/ software architect
